date,Dog food,Cat food,Fish tanks,Bird cages,Pet toys,Dog collars,Cat litter,Puppy pads,Reptile terrariums,Dog leashes,Cat treats,Fish food,Pet grooming,Bird feed,Pet vitamins_x,Dog harness,Pet beds,Aquarium decorations,Litter boxes,Rabbit hay,Pet clothes,Puppy training pads,Catnip toys,Fish tank filter,Bird perches,Flea collars,Dog shampoo,Cat scratchers,Hamster cages,Puppy chews,Bird baths,Dog bowls,Cat bowls,Aquarium lights,Hamster bedding,Bird toys,Dog raincoat,Pet carriers_x,Dog sweaters,Rabbit cages,Small animal toys,Pet vitamins_y,Aquarium pumps,Pet gates,Cat toys,Guinea pig cages,Pet supplements,Dog travel crate,Pet food storage,Cat climbing trees,Puppy shampoo,Fish nets,Pet strollers,Pet bath products,Cat scratching posts,Dog toothbrush,Bird nesting boxes,Pet carriers_y,Aquarium heaters,Dog cooling mats,Pet dental care,Reptile heating pads,Pet clothing,Cat brush,Aquarium plants,Pet food bowls,Bird seed,Cat fountain,Dog toys,Fish bowl,Parrot toys,Puppy teething rings,Small pet bed,Dog deodorant,Cat flea treatments,Pet tag engraver,Bird cage liners,Reptile hides,Dog whistle,Aquarium thermometer,Pet steps,Litter scoop,Cat harness,Pet waste bags,Dog boots,Fish tank gravel,Rabbit food,Bird treats,Reptile water dish,Cat comb,Puppy soft toys,Aquarium test kits,Hamster wheels,Fish tank maintenance,Small pet toys,Dog food toppers,Pet grooming gloves
2019-12-29,7.6,2.3636363636363638,0.24,0.08,0.09,0.48,1.1568627450980393,0.1,0.0,0.7941818181818181,0.15,0.7682926829268293,0.7564102564102564,0.05,0.1549241379310345,0.59,0.07,0.4004,0.08,0.312,0.5672727272727273,0.2902325581395349,0.11648,0.15,0.11324444444444444,0.03,0.42,0.14351999999999998,0.06,0.3408,0.01,0.14,0.48879999999999996,0.08,0.43679999999999997,0.6136,0.33696,0.3848,0.08,0.46516363636363633,0.0,0.1549241379310345,0.1834181818181818,0.5304,0.21,0.07,0.1209,0.229632,0.2323862068965517,0.0,0.86112,0.02,0.0,0.0,0.0,0.5087999999999999,0.0,0.3848,0.08256,0.0,0.0,0.0,0.24392727272727271,0.06,0.19,0.0,0.16,0.09,0.6309523809523809,0.3,0.16177777777777777,0.0,0.09252413793103448,0.12202666666666666,0.0,0.0,0.0,0.0,0.21,0.1326,0.5386105263157894,0.04,0.05,0.0,0.18,0.5065411764705882,0.09,0.082368,0.0,0.10509473684210525,0.0,0.0,0.0,0.094848,0.0,0.078,0.0
2020-01-05,7.4,2.3636363636363638,0.24,0.07,0.08,0.43,1.0980392156862746,0.09,0.0,0.6580363636363635,0.13,0.8170731707317073,0.6923076923076923,0.05,0.08822068965517241,0.53,0.06,0.2808,0.07,0.22879999999999998,0.5105454545454545,0.25250232558139535,0.11648,0.13,0.09937777777777777,0.04,0.33,0.08736,0.06,0.24,0.02,0.14,0.3432,0.044800000000000006,0.35568,0.52,0.28703999999999996,0.3588,0.06,0.48785454545454543,0.08693932584269663,0.08822068965517241,0.0,0.6552,0.2,0.06,0.1482,0.23961599999999997,0.2065655172413793,0.0,0.6864,0.03,0.0,0.0,0.0,0.4512,0.0,0.3588,0.13056,0.0,0.07973333333333332,0.0,0.2893090909090909,0.05,0.17,0.0,0.13,0.08,0.5833333333333334,0.25,0.12017777777777777,0.0,0.08822068965517241,0.14975999999999998,0.0,0.0,0.0,0.0,0.22,0.1664,0.4860631578947368,0.03,0.05,0.09706666666666666,0.15,0.4331294117647059,0.11,0.077376,0.0,0.1510736842105263,0.0,0.0,0.0,0.104832,0.0,0.0,0.0
2020-01-12,7.3,2.4545454545454546,0.26,0.07,0.07,0.44,1.0784313725490196,0.09,0.082368,0.6920727272727273,0.14,0.7195121951219512,0.7051282051282052,0.04,0.0,0.54,0.05,0.36920000000000003,0.06,0.30506666666666665,0.5559272727272726,0.22928372093023253,0.09984,0.12,0.14328888888888888,0.04,0.34,0.07175999999999999,0.06,0.216,0.02,0.14,0.4472,0.0352,0.3432,0.5095999999999999,0.26208,0.3068,0.06,0.46516363636363633,0.0,0.0,0.11534545454545453,0.5226,0.19,0.06,0.1326,0.20467199999999997,0.2194758620689655,0.0,0.64896,0.03,0.0,0.0,0.0,0.4896,0.0,0.3068,0.10175999999999999,0.0,0.0832,0.0,0.2666181818181818,0.05,0.19,0.0,0.13,0.08,0.5595238095238095,0.31,0.15484444444444442,0.0,0.0,0.09151999999999999,0.0,0.0,0.0,0.08985599999999999,0.25,0.0832,0.5057684210526315,0.04,0.05,0.0,0.17,0.3964235294117647,0.12,0.082368,0.0,0.10509473684210525,0.0,0.0,0.0,0.11980799999999998,0.0,0.11699999999999999,0.0
2020-01-19,7.2,2.3636363636363638,0.29,0.07,0.07,0.45,1.1372549019607843,0.1,0.0,0.7828363636363636,0.14,0.7682926829268293,0.7435897435897436,0.05,0.13555862068965518,0.54,0.06,0.42119999999999996,0.07,0.3328,0.5559272727272726,0.20026046511627907,0.19136,0.13,0.0,0.03,0.33,0.14975999999999998,0.07,0.22079999999999997,0.02,0.13,0.43679999999999997,0.0512,0.38064,0.43679999999999997,0.23711999999999997,0.3588,0.07,0.44247272727272724,0.0,0.13555862068965518,0.0,0.5147999999999999,0.18,0.06,0.12869999999999998,0.22464,0.18935172413793103,0.0,0.64896,0.03,0.1196,0.0,0.0,0.5184,0.0,0.3588,0.192,0.0,0.13866666666666666,0.0,0.23258181818181817,0.06,0.19,0.0858,0.15,0.08,0.5833333333333334,0.32,0.09475555555555555,0.0,0.0,0.16085333333333335,0.0,0.0,0.0,0.0,0.23,0.1586,0.5517473684210527,0.03,0.06,0.08572121212121211,0.17,0.3964235294117647,0.12,0.0,0.0,0.1248,0.0,0.0,0.0,0.13312,0.0,0.0,0.0
2020-01-26,7.3,2.272727272727273,0.25,0.07,0.07,0.43,1.0196078431372548,0.08,0.0,0.6693818181818181,0.13,0.7560975609756098,0.717948717948718,0.05,0.10973793103448275,0.5,0.05,0.38999999999999996,0.06,0.2912,0.5218909090909091,0.20896744186046512,0.07904,0.11,0.07626666666666666,0.03,0.3,0.09359999999999999,0.07,0.2352,0.02,0.12,0.37439999999999996,0.0384,0.38064,0.45759999999999995,0.18719999999999998,0.2756,0.04,0.5105454545454545,0.0,0.10973793103448275,0.10778181818181817,0.43679999999999997,0.17,0.06,0.10919999999999999,0.16972800000000002,0.2022620689655172,0.0,0.5616,0.02,0.0,0.0,0.079872,0.5472,0.07487999999999999,0.2756,0.12288,0.0,0.09359999999999999,0.0,0.2098909090909091,0.05,0.18,0.11699999999999999,0.13,0.06,0.4880952380952381,0.34,0.06933333333333333,0.0,0.0,0.14698666666666665,0.0,0.0,0.0,0.0,0.26,0.0728,0.39410526315789474,0.03,0.05,0.0,0.11,0.3817411764705882,0.1,0.077376,0.0,0.11823157894736841,0.0,0.0,0.11142857142857143,0.093184,0.0,0.0819,0.0
2020-02-02,6.9,2.1818181818181817,0.26,0.08,0.07,0.43,1.0,0.09,0.0,0.6920727272727273,0.13,0.7195121951219512,0.7051282051282052,0.04,0.14631724137931032,0.54,0.05,0.42119999999999996,0.06,0.30506666666666665,0.4992,0.21186976744186045,0.09151999999999999,0.12,0.09244444444444444,0.03,0.31,0.21528,0.06,0.1488,0.02,0.14,0.364,0.0384,0.36816,0.5824,0.27456,0.3224,0.04,0.4992,0.0,0.14631724137931032,0.10210909090909091,0.5304,0.18,0.06,0.1638,0.14476799999999998,0.18935172413793103,0.0,0.6614399999999999,0.03,0.09879999999999999,0.0,0.071552,0.4032,0.0,0.3224,0.0,0.0,0.07973333333333332,0.0,0.2666181818181818,0.05,0.19,0.0819,0.13,0.07,0.5238095238095238,0.62,0.09475555555555555,0.0,0.07315862068965516,0.11925333333333334,0.0,0.0,0.0,0.0,0.24,0.0,0.42694736842105263,0.03,0.05,0.0,0.12,0.46249411764705883,0.11,0.08736,0.0,0.17077894736842106,0.0,0.0,0.0,0.0,0.0,0.09749999999999999,0.10883720930232557
2020-02-09,6.6,2.090909090909091,0.26,0.07,0.07,0.43,1.0588235294117647,0.08,0.0,0.6920727272727273,0.15,0.8170731707317073,0.7051282051282052,0.05,0.09037241379310344,0.51,0.05,0.45239999999999997,0.06,0.23573333333333332,0.5672727272727273,0.1799441860465116,0.11648,0.13,0.07626666666666666,0.05,0.3,0.09984,0.05,0.216,0.02,0.13,0.4472,0.041600000000000005,0.33696,0.43679999999999997,0.21216,0.3276,0.04,0.48785454545454543,0.0,0.09037241379310344,0.0,0.5459999999999999,0.18,0.06,0.1326,0.18470399999999998,0.1506206896551724,0.0,0.624,0.03,0.0,0.0,0.079872,0.4896,0.0,0.3276,0.07296,0.0,0.08666666666666666,0.0,0.3063272727272727,0.05,0.18,0.0,0.14,0.07,0.5357142857142857,0.33,0.1664,0.0,0.0753103448275862,0.0,0.0,0.0,0.0,0.09359999999999999,0.23,0.0962,0.47292631578947364,0.03,0.05,0.0,0.14,0.4331294117647059,0.13,0.14975999999999998,0.0,0.1510736842105263,0.0,0.0,0.09359999999999999,0.0,0.0,0.0,0.0
2020-02-16,6.9,2.272727272727273,0.26,0.08,0.08,0.45,1.0980392156862746,0.09,0.0,0.7828363636363636,0.14,0.9390243902439024,0.8333333333333334,0.05,0.10758620689655171,0.63,0.06,0.40559999999999996,0.06,0.2912,0.44247272727272724,0.23218604651162789,0.12896000000000002,0.14,0.09475555555555555,0.04,0.33,0.11544,0.07,0.2784,0.03,0.13,0.37439999999999996,0.0512,0.38064,0.5824,0.22464,0.2704,0.05,0.4765090909090909,0.09114606741573034,0.10758620689655171,0.14938181818181817,0.5147999999999999,0.17,0.06,0.19499999999999998,0.209664,0.23668965517241378,0.0,0.73632,0.03,0.0962,0.0,0.0,0.37439999999999996,0.0,0.2704,0.08448,0.0,0.1352,0.0,0.2269090909090909,0.07,0.21,0.07604999999999999,0.15,0.08,0.5476190476190477,0.3,0.11786666666666666,0.0,0.09252413793103448,0.17194666666666666,0.0,0.0,0.0,0.0,0.24,0.0884,0.5386105263157894,0.04,0.06,0.0,0.12,0.4771764705882353,0.13,0.077376,0.0,0.16421052631578947,0.0,0.0,0.08691428571428571,0.078208,0.0,0.0,0.0
2020-02-23,7.4,2.3636363636363638,0.29,0.08,0.08,0.47,0.9607843137254902,0.09,0.0,0.771490909090909,0.14,0.9512195121951219,0.8205128205128205,0.06,0.07315862068965516,0.61,0.06,0.3848,0.06,0.3605333333333333,0.4538181818181818,0.19155348837209302,0.11648,0.13,0.11555555555555555,0.05,0.31,0.16848,0.07,0.24,0.03,0.13,0.5512,0.041600000000000005,0.39936,0.4784,0.23711999999999997,0.3172,0.03,0.6013090909090909,0.0,0.07315862068965516,0.12101818181818182,0.624,0.17,0.06,0.13649999999999998,0.194688,0.2496,0.0,0.624,0.03,0.12219999999999999,0.0,0.0,0.4704,0.0,0.3172,0.10944,0.0,0.104,0.0,0.22123636363636362,0.06,0.2,0.078,0.14,0.07,0.5,0.31,0.19413333333333332,0.0,0.0688551724137931,0.08874666666666667,0.0,0.0,0.0,0.0,0.26,0.0884,0.5320421052631579,0.03,0.06,0.08572121212121211,0.11,0.4037647058823529,0.12,0.09235199999999999,0.0,0.20362105263157892,0.0,0.0,0.078,0.07654399999999999,0.0,0.0,0.1306046511627907
2020-03-01,6.7,2.1818181818181817,0.25,0.07,0.07,0.44,1.0,0.08,0.0,0.9303272727272727,0.12,0.9024390243902439,0.9358974358974359,0.06,0.12264827586206896,0.61,0.05,0.42119999999999996,0.06,0.3605333333333333,0.44247272727272724,0.2496,0.0,0.12,0.07395555555555555,0.05,0.3,0.09359999999999999,0.07,0.22079999999999997,0.03,0.13,0.52,0.041600000000000005,0.46176,0.5304,0.22464,0.21839999999999998,0.02,0.5218909090909091,0.0,0.12264827586206896,0.1229090909090909,0.624,0.16,0.06,0.10919999999999999,0.189696,0.2194758620689655,0.0,0.5740799999999999,0.03,0.12739999999999999,0.0,0.069888,0.37439999999999996,0.0,0.21839999999999998,0.14975999999999998,0.0,0.1456,0.0,0.2722909090909091,0.06,0.18,0.06824999999999999,0.14,0.08,0.5119047619047619,0.3,0.13866666666666666,0.0,0.0,0.0832,0.0,0.0,0.0,0.0,0.26,0.09879999999999999,0.3481263157894736,0.03,0.07,0.0,0.1,0.41110588235294115,0.13,0.11232,0.0,0.11166315789473684,0.0,0.0,0.10251428571428571,0.0,0.0,0.11699999999999999,0.08706976744186046
